CustomerID,Gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1282,Male,0,No,Yes,28,No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,66.54,7288.67,Yes
1283,Male,0,Yes,No,4,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,40.33,233.54,Yes
1284,Male,0,No,Yes,13,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,83.37,4287.11,Yes
1285,Male,0,Yes,Yes,51,Yes,Yes,No,No internet service,No internet service,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),21.5,311.12,No
1286,Female,0,Yes,Yes,48,Yes,No,No,No internet service,Yes,No,No,No,Yes,Two year,Yes,Electronic check,104.4,7586.77,No
1287,Female,0,Yes,No,39,Yes,Yes,DSL,Yes,No internet service,Yes,Yes,No,Yes,One year,Yes,Mailed check,86.35,1412.43,No
1288,Female,0,No,Yes,67,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,115.64,525.98,No
1289,Female,0,Yes,No,58,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),114.01,7451.61,Yes
1290,Male,1,No,No,2,No,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Mailed check,87.89,3870.9,No
1291,Male,0,No,Yes,25,Yes,Yes,No,No internet service,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,34.13,845.61,No
1292,Male,0,Yes,Yes,11,Yes,No,DSL,No internet service,No internet service,No,No,No internet service,No,One year,No,Credit card (automatic),40.57,5633.67,No
1293,Female,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),46.15,6133.53,Yes
1294,Male,0,No,No,48,Yes,No,DSL,No,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Electronic check,61.13,4943.99,No
1295,Female,0,Yes,No,48,Yes,Yes,Fiber optic,No,No internet service,No,No,No,No,One year,No,Electronic check,75.62,2897.03,No
1296,Female,0,Yes,No,10,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,86.85,3697.4,Yes
1297,Male,0,Yes,No,30,Yes,Yes,No,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),25.85,8293.45,No
1298,Male,0,Yes,No,35,Yes,No,DSL,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),79.61,4649.58,No
1299,Male,0,Yes,No,19,Yes,No,DSL,No,No,No internet service,Yes,No,No,Month-to-month,No,Mailed check,24.2,3459.71,No
1300,Female,0,Yes,No,53,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Credit card (automatic),101.37,6155.99,No
1301,Male,0,No,No,34,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Month-to-month,No,Mailed check,22.31,678.78,No
1302,Female,1,Yes,Yes,32,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,57.45,2533.91,No
1303,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,60.46,1981.41,Yes
1304,Female,1,No,No,13,Yes,No,No,Yes,No internet service,No,No,Yes,No,One year,Yes,Electronic check,75.57,5912.58,No
1305,Female,0,No,No,64,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,27.84,5252.31,Yes
1306,Male,1,No,Yes,7,Yes,No,No,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),112.03,6600.08,Yes
1307,Female,0,Yes,No,45,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Mailed check,56.76,3717.21,Yes
1308,Female,0,No,Yes,45,Yes,Yes,No,No,No,No internet service,No internet service,No,No,Month-to-month,No,Mailed check,58.07,1526.19,No
1309,Male,0,Yes,Yes,65,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,42.68,1603.18,Yes
1310,Female,0,Yes,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.71,7751.08,Yes
1311,Male,0,Yes,No,47,Yes,Yes,No,No internet service,No internet service,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),19.03,667.83,No
1312,Female,0,Yes,Yes,46,No,Yes,Fiber optic,Yes,No internet service,No,No,No,Yes,One year,No,Mailed check,28.92,5167.44,No
1313,Male,0,No,No,29,Yes,No,No,Yes,No,No internet service,Yes,Yes,No,Month-to-month,No,Electronic check,65.56,2026.48,Yes
1314,Male,0,Yes,Yes,61,No,Yes,DSL,No internet service,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),115.56,1875.73,No
1315,Female,0,No,No,65,Yes,No phone service,No,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,21.83,871.6,No
1316,Female,0,No,Yes,23,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Two year,No,Electronic check,24.48,8505.25,No
1317,Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),90.1,547.3,No
1318,Female,0,Yes,No,63,No,No,DSL,No internet service,No,No,Yes,No internet service,No internet service,Two year,Yes,Electronic check,92.16,1299.21,No
1319,Female,0,Yes,No,22,Yes,Yes,DSL,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Mailed check,108.39,3183.35,Yes
1320,Male,0,Yes,Yes,71,Yes,No,No,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.2,3968.74,No
1321,Female,0,Yes,Yes,33,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,No,One year,No,Bank transfer (automatic),58.81,8258.43,No
1322,Male,0,No,Yes,44,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,63.58,2114.14,No
1323,Male,0,Yes,No,7,Yes,No,Fiber optic,No internet service,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),61.62,6266.8,Yes
1324,Female,0,Yes,No,2,No,No,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),116.09,5707.06,No
1325,Male,0,No,No,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,No,Bank transfer (automatic),56.45,4503.41,Yes
1326,Male,0,Yes,Yes,65,Yes,Yes,DSL,No,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),27.9,2324.48,No
1327,Male,0,No,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),47.36,1376.21,No
1328,Male,0,Yes,Yes,30,Yes,Yes,No,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,114.74,1548.53,Yes
1329,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Two year,No,Bank transfer (automatic),61.29,3017.19,No
1330,Male,0,Yes,No,35,Yes,No,DSL,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),50.02,1207.11,No
1331,Female,0,Yes,No,63,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,49.48,8672.5,No
1332,Female,0,Yes,Yes,71,Yes,Yes,DSL,Yes,No internet service,Yes,No internet service,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),19.16,3882.24,No
1333,Male,0,No,No,28,No,Yes,No,No,No,No,No,No internet service,Yes,One year,No,Electronic check,81.88,4689.69,No
1334,Female,0,Yes,No,25,Yes,No,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Credit card (automatic),91.04,5361.02,Yes
1335,Female,0,No,No,61,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),53.72,1715.46,No
1336,Female,0,Yes,No,31,No,No,No,No internet service,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),105.97,4193.68,No
1337,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),92.91,563.81,Yes
1338,Female,0,Yes,No,67,Yes,No,No,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),78.64,8417.6,No
1339,Female,1,No,No,51,Yes,No,DSL,No,Yes,No,No,No,No internet service,One year,No,Electronic check,88.98,4116.31,No
1340,Female,0,Yes,No,58,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,No,Credit card (automatic),95.58,275.85,No
1341,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),71.22,5210.38,No
1342,Female,0,No,No,59,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),58.23,886.39,Yes
1343,Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),30.88,6864.77,No
1344,Male,0,No,Yes,56,Yes,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),58.95,8280.58,No
1345,Male,0,Yes,No,37,No,No,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,No,Electronic check,73.53,7961.71,No
1346,Male,0,No,Yes,64,Yes,No,DSL,No,No internet service,No internet service,Yes,No,Yes,One year,No,Electronic check,113.51,3725.97,No
1347,Male,1,No,No,19,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),33.82,6194.05,Yes
1348,Male,0,No,No,53,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),94.32,1369.0,No
1349,Female,0,Yes,No,71,Yes,No,No,No,No,No internet service,No internet service,Yes,Yes,Two year,Yes,Electronic check,42.44,674.78,No
1350,Male,0,Yes,Yes,63,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No internet service,Month-to-month,No,Electronic check,114.43,7134.03,Yes
1351,Female,0,No,Yes,62,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No internet service,One year,Yes,Bank transfer (automatic),78.03,6043.13,No
1352,Female,0,Yes,No,72,Yes,Yes,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),61.74,7879.39,No
1353,Male,0,Yes,No,19,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,53.11,7944.62,Yes
1354,Female,1,No,Yes,2,Yes,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Mailed check,38.55,3028.33,No
1355,Female,0,Yes,Yes,6,Yes,No,No,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),90.06,2780.21,No
1356,Female,0,Yes,No,29,Yes,No phone service,No,No internet service,No,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),82.16,3848.31,No
1357,Female,0,Yes,Yes,41,Yes,Yes,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.71,5787.6,No
1358,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),78.28,62.04,No
1359,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,35.32,4651.74,Yes
1360,Male,0,No,No,41,Yes,No,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Mailed check,86.87,189.79,Yes
1361,Female,0,Yes,No,62,Yes,No,Fiber optic,No internet service,No,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,106.57,3924.34,Yes
1362,Female,0,No,Yes,30,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,117.79,731.83,No
1363,Male,0,No,No,62,Yes,Yes,DSL,No internet service,No,No,No internet service,No,No,Two year,No,Mailed check,87.1,4890.97,No
1364,Female,0,No,No,27,No,Yes,No,No,No,No internet service,Yes,Yes,No,Month-to-month,Yes,Electronic check,47.35,2742.3,Yes
1365,Female,0,Yes,No,50,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,75.07,4169.07,No
1366,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,One year,No,Credit card (automatic),70.01,8318.18,No
1367,Male,0,Yes,No,49,Yes,No,No,No internet service,No,No,No internet service,No,Yes,Two year,No,Electronic check,69.7,2973.64,No
1368,Female,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,26.15,6252.11,Yes
1369,Male,0,No,No,60,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),37.8,5940.23,No
1370,Female,0,Yes,No,54,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Electronic check,70.92,7548.92,No
1371,Male,0,No,No,5,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),98.47,2916.81,Yes
1372,Male,0,Yes,No,9,No,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,36.52,504.76,No
1373,Female,0,No,No,34,Yes,No phone service,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),34.76,8430.29,No
1374,Female,0,Yes,No,36,Yes,No,DSL,Yes,Yes,No,No,No,No internet service,Two year,Yes,Credit card (automatic),94.62,3158.99,No
1375,Male,0,No,No,20,Yes,Yes,No,No internet service,No,No,No,Yes,No,Two year,Yes,Bank transfer (automatic),87.65,1697.75,No
1376,Male,0,Yes,Yes,63,Yes,Yes,DSL,No,No,Yes,No,No internet service,Yes,Two year,Yes,Electronic check,67.0,7940.4,No
1377,Female,0,Yes,No,67,Yes,No phone service,Fiber optic,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),23.31,1670.63,Yes
1378,Male,1,Yes,No,30,Yes,Yes,Fiber optic,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,65.75,4601.0,Yes
1379,Female,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),102.15,6565.97,Yes
1380,Female,0,Yes,No,70,Yes,No phone service,DSL,Yes,No,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),19.32,6353.78,No
1381,Female,0,Yes,No,3,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,No internet service,Two year,No,Credit card (automatic),28.56,274.14,No
1382,Female,0,Yes,No,49,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,99.59,1773.12,No
1383,Male,1,Yes,No,42,Yes,Yes,DSL,No,No internet service,No,No,No,No,Two year,No,Mailed check,71.03,7718.48,No
1384,Female,0,Yes,Yes,24,Yes,No,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Mailed check,84.81,4812.67,No
1385,Male,1,No,Yes,44,Yes,Yes,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,93.13,5974.26,Yes
1386,Female,1,No,No,1,Yes,Yes,DSL,No internet service,Yes,No,No,No,No internet service,One year,No,Credit card (automatic),48.42,3505.06,Yes
1387,Male,1,No,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,48.19,6476.73,Yes
1388,Female,0,No,Yes,52,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),44.78,2524.1,Yes
1389,Male,0,Yes,Yes,36,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,35.06,2029.58,No
1390,Male,0,Yes,No,38,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.88,8659.77,No
1391,Female,0,Yes,No,44,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.01,1385.01,Yes
1392,Female,0,No,No,47,Yes,No phone service,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),26.89,8523.27,Yes
1393,Female,0,No,Yes,29,No,Yes,No,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),42.43,8047.94,No
1394,Female,0,Yes,No,51,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),50.21,6212.18,No
1395,Male,0,Yes,No,41,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),33.71,5062.18,No
1396,Female,0,Yes,No,64,Yes,No,DSL,No internet service,No internet service,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),26.03,58.05,No
1397,Male,0,Yes,No,48,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),34.52,5524.19,No
1398,Male,0,Yes,Yes,22,Yes,Yes,Fiber optic,No,No internet service,Yes,No,No,No,One year,Yes,Bank transfer (automatic),71.29,6712.52,No
1399,Female,0,Yes,No,17,Yes,No,DSL,Yes,No,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),78.22,6369.9,No
1400,Male,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,39.88,1509.91,Yes
1401,Male,0,Yes,Yes,61,No,Yes,No,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,68.88,4737.73,No
1402,Male,0,No,No,6,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),18.88,4786.82,Yes
1403,Male,1,No,No,53,Yes,Yes,DSL,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),78.75,5676.68,Yes
1404,Female,0,No,No,17,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),18.38,7219.77,Yes
1405,Female,0,No,No,59,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,82.85,6069.67,Yes
1406,Female,0,No,No,39,Yes,No phone service,No,No,No,No,No,No,No internet service,One year,No,Credit card (automatic),66.82,1243.36,No
1407,Female,0,No,No,54,Yes,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),29.23,183.72,No
1408,Male,0,No,Yes,48,Yes,No,No,No,Yes,No internet service,Yes,No,Yes,Two year,No,Credit card (automatic),27.13,1202.45,No
1409,Male,0,Yes,No,37,Yes,No phone service,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Electronic check,18.94,367.88,No
1410,Female,0,No,Yes,48,Yes,No phone service,DSL,No,Yes,No,No,Yes,No,One year,Yes,Electronic check,73.69,3803.88,No
1411,Female,0,No,No,68,Yes,Yes,DSL,No internet service,No,No internet service,No,No,Yes,Two year,Yes,Mailed check,99.31,2477.81,No
1412,Female,0,No,Yes,27,No,No,DSL,No,Yes,Yes,No,No,No internet service,One year,No,Credit card (automatic),104.33,82.15,No
1413,Male,0,No,No,27,No,No phone service,No,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.46,714.49,No
1414,Female,1,Yes,No,72,No,No,Fiber optic,Yes,Yes,No internet service,No,No internet service,No internet service,One year,No,Electronic check,107.41,3463.9,No
1415,Female,1,Yes,No,63,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,104.88,8162.78,Yes
1416,Female,0,Yes,No,52,Yes,No,No,Yes,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,88.42,8639.73,Yes
1417,Male,0,Yes,No,47,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),54.74,453.14,No
1418,Male,0,No,No,21,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,101.38,7216.61,No
1419,Male,0,Yes,No,57,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No internet service,Yes,One year,No,Credit card (automatic),57.61,4180.71,No
1420,Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Two year,Yes,Mailed check,58.78,5400.75,No
1421,Male,1,Yes,Yes,48,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Two year,No,Electronic check,86.4,4403.53,No
1422,Male,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),111.51,8030.58,No
1423,Male,0,No,Yes,72,Yes,Yes,DSL,No,Yes,No,No,No internet service,No,Two year,Yes,Mailed check,68.5,4165.35,No
1424,Male,0,No,Yes,33,Yes,Yes,DSL,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,36.06,1474.45,No
1425,Female,1,Yes,No,35,Yes,Yes,No,Yes,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card (automatic),32.57,6777.01,No
1426,Female,0,Yes,Yes,16,Yes,No,No,No,Yes,No internet service,No internet service,Yes,No internet service,One year,No,Mailed check,48.62,4471.17,No
1427,Male,0,Yes,Yes,36,Yes,No phone service,DSL,No internet service,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),64.24,1033.32,No
1428,Male,0,Yes,Yes,66,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.17,4018.96,No
1429,Female,0,Yes,No,56,Yes,Yes,No,No internet service,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,89.8,5975.76,No
1430,Male,0,No,No,17,Yes,No,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),72.79,2582.53,No
1431,Male,1,Yes,No,20,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,59.13,7921.96,Yes
1432,Male,0,Yes,No,8,Yes,Yes,DSL,Yes,No internet service,No,Yes,Yes,No,Two year,Yes,Electronic check,39.7,7384.54,No
1433,Female,0,Yes,Yes,18,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,One year,No,Bank transfer (automatic),79.09,4940.18,No
1434,Female,0,No,No,18,Yes,No,Fiber optic,No internet service,No,No,No,Yes,No internet service,Month-to-month,No,Electronic check,86.0,489.99,Yes
1435,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Electronic check,97.06,5073.37,Yes
1436,Female,0,No,Yes,2,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No,No,Month-to-month,No,Electronic check,117.83,3620.43,Yes
1437,Female,0,Yes,No,72,Yes,Yes,No,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),41.5,6293.58,No
1438,Male,0,No,No,51,Yes,Yes,No,Yes,No,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),19.77,2332.89,No
1439,Female,0,Yes,No,10,Yes,No,No,No,No,No,No internet service,No,Yes,Month-to-month,No,Bank transfer (automatic),68.54,5268.35,Yes
1440,Male,0,Yes,No,14,Yes,No,No,No,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,111.11,4823.55,Yes
1441,Male,0,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No internet service,No,Yes,No,No,One year,Yes,Electronic check,43.25,4584.49,No
1442,Female,1,Yes,Yes,47,No,No phone service,DSL,No,No internet service,No,No,No,No,One year,Yes,Electronic check,94.22,1023.29,No
1443,Female,0,No,Yes,30,No,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),50.36,4264.15,No
1444,Male,0,No,Yes,56,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),57.57,4790.49,No
1445,Male,0,Yes,Yes,42,Yes,No,DSL,No,Yes,Yes,No internet service,No,Yes,Two year,No,Mailed check,113.5,8057.88,No
1446,Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,Yes,Mailed check,64.58,4012.65,No
1447,Female,0,No,Yes,11,No,Yes,No,Yes,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,91.14,5563.87,No
1448,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,73.51,4951.88,Yes
1449,Female,0,Yes,No,67,Yes,No,Fiber optic,No internet service,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),95.02,1710.8,No
1450,Female,0,Yes,No,37,Yes,No,Fiber optic,No internet service,No,Yes,No,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),50.15,1616.89,Yes
1451,Female,0,Yes,No,2,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,106.38,6426.42,No
1452,Male,0,No,No,12,Yes,Yes,No,No,Yes,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),73.42,4551.67,No
1453,Female,1,Yes,No,21,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,Yes,Electronic check,49.32,7783.82,Yes
1454,Male,0,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),22.09,7888.87,No
1455,Male,0,Yes,No,71,Yes,No,No,Yes,No,No,No,Yes,No,One year,No,Mailed check,19.58,2593.26,No
1456,Male,1,Yes,No,64,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Two year,No,Mailed check,53.76,898.63,No
1457,Female,1,No,Yes,68,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,39.93,3000.6,Yes
1458,Female,0,No,No,43,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,Yes,Yes,One year,No,Credit card (automatic),23.54,599.76,No
1459,Female,0,No,No,54,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,73.81,6789.15,No
1460,Male,0,No,No,62,No,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),117.62,1285.61,No
1461,Male,0,Yes,Yes,12,Yes,Yes,No,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,60.69,7526.67,Yes
1462,Male,0,Yes,No,1,Yes,No,No,No,No,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Credit card (automatic),73.74,3618.03,Yes
1463,Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,40.34,2433.18,No
1464,Male,0,Yes,Yes,33,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),38.84,4364.96,No
1465,Male,0,Yes,No,64,Yes,No phone service,No,No,No internet service,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,51.25,5265.8,No
1466,Female,0,No,No,68,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),102.17,6098.38,No
